,Date,Province_State,Recovered,Deaths,Confirmed,Active
276,2020-03-22,Himachal Pradesh,0,0.0,2,2.0
277,2020-03-22,Karnataka,2,1.0,26,23.0
278,2020-03-22,Kerala,3,0.0,52,49.0
279,2020-03-22,Madhya Pradesh,0,0.0,4,4.0
280,2020-03-22,Maharashtra,0,2.0,67,65.0
281,2020-03-22,Odisha,0,0.0,2,2.0
282,2020-03-22,Puducherry,0,0.0,1,1.0
283,2020-03-22,Punjab,0,1.0,21,20.0
284,2020-03-22,Rajasthan,3,0.0,24,21.0
285,2020-03-22,Tamil Nadu,1,0.0,7,6.0
286,2020-03-22,Telengana,1,0.0,22,21.0
287,2020-03-22,Chandigarh,0,0.0,5,5.0
288,2020-03-22,Jammu and Kashmir,0,0.0,4,4.0
289,2020-03-22,Ladakh,0,0.0,13,13.0
290,2020-03-22,Uttar Pradesh,9,0.0,27,18.0
291,2020-03-22,Uttarakhand,0,0.0,3,3.0
292,2020-03-22,West Bengal,0,0.0,4,4.0
293,2020-03-23,Andhra Pradesh,0,0.0,7,7.0
294,2020-03-23,Bihar,0,1.0,2,1.0
295,2020-03-23,Chhattisgarh,0,0.0,1,1.0
296,2020-03-23,Delhi,5,1.0,29,23.0
297,2020-03-23,Gujarat,0,1.0,29,28.0
298,2020-03-23,Haryana,0,0.0,26,26.0
299,2020-03-23,Himachal Pradesh,0,0.0,2,2.0
300,2020-03-23,Karnataka,2,1.0,33,30.0
301,2020-03-23,Kerala,3,0.0,67,64.0
302,2020-03-23,Madhya Pradesh,0,0.0,6,6.0
303,2020-03-23,Maharashtra,0,2.0,74,72.0
304,2020-03-23,Odisha,0,0.0,2,2.0
305,2020-03-23,Puducherry,0,0.0,1,1.0
306,2020-03-23,Punjab,0,1.0,21,20.0
307,2020-03-23,Rajasthan,3,0.0,28,25.0
308,2020-03-23,Tamil Nadu,1,0.0,9,8.0
309,2020-03-23,Telengana,1,0.0,32,31.0
310,2020-03-23,Chandigarh,0,0.0,6,6.0
311,2020-03-23,Jammu and Kashmir,0,0.0,4,4.0
312,2020-03-23,Ladakh,0,0.0,13,13.0
313,2020-03-23,Uttar Pradesh,9,0.0,31,22.0
314,2020-03-23,Uttarakhand,0,0.0,3,3.0
315,2020-03-23,West Bengal,0,0.0,7,7.0
316,2020-03-24,Andhra Pradesh,0,0.0,8,8.0
317,2020-03-24,Bihar,0,1.0,3,2.0
318,2020-03-24,Chhattisgarh,0,0.0,1,1.0
319,2020-03-24,Delhi,6,1.0,30,23.0
320,2020-03-24,Gujarat,0,1.0,33,32.0
321,2020-03-24,Haryana,11,0.0,28,17.0
322,2020-03-24,Himachal Pradesh,0,1.0,3,2.0
323,2020-03-24,Karnataka,3,1.0,37,33.0
324,2020-03-24,Kerala,4,0.0,95,91.0
325,2020-03-24,Madhya Pradesh,0,0.0,7,7.0
326,2020-03-24,Maharashtra,0,2.0,89,87.0
327,2020-03-24,Manipur,0,0.0,1,1.0
328,2020-03-24,Odisha,0,0.0,2,2.0
329,2020-03-24,Puducherry,0,0.0,1,1.0
330,2020-03-24,Punjab,0,1.0,29,28.0
331,2020-03-24,Rajasthan,3,0.0,32,29.0
332,2020-03-24,Tamil Nadu,1,0.0,15,14.0
333,2020-03-24,Telengana,1,0.0,35,34.0
334,2020-03-24,Chandigarh,0,0.0,7,7.0
335,2020-03-24,Jammu and Kashmir,0,0.0,4,4.0
336,2020-03-24,Ladakh,0,0.0,13,13.0
337,2020-03-24,Uttar Pradesh,11,0.0,33,22.0
338,2020-03-24,Uttarakhand,0,0.0,4,4.0
339,2020-03-24,West Bengal,0,1.0,9,8.0
340,2020-03-25,Andhra Pradesh,1,0.0,9,8.0
341,2020-03-25,Bihar,0,1.0,4,3.0
342,2020-03-25,Chhattisgarh,0,0.0,1,1.0
343,2020-03-25,Delhi,6,1.0,31,24.0
344,2020-03-25,Gujarat,0,1.0,38,37.0
345,2020-03-25,Haryana,11,0.0,28,17.0
346,2020-03-25,Himachal Pradesh,0,1.0,3,2.0
347,2020-03-25,Karnataka,3,1.0,41,37.0
348,2020-03-25,Kerala,4,0.0,109,105.0
349,2020-03-25,Madhya Pradesh,0,0.0,14,14.0
350,2020-03-25,Maharashtra,1,3.0,128,124.0
351,2020-03-25,Manipur,0,0.0,1,1.0
352,2020-03-25,Mizoram,0,0.0,1,1.0
353,2020-03-25,Odisha,0,0.0,2,2.0
354,2020-03-25,Puducherry,0,0.0,1,1.0
355,2020-03-25,Punjab,0,1.0,29,28.0
356,2020-03-25,Rajasthan,3,0.0,36,33.0
357,2020-03-25,Tamil Nadu,1,0.0,18,17.0
358,2020-03-25,Telengana,1,0.0,35,34.0
359,2020-03-25,Chandigarh,0,0.0,7,7.0
360,2020-03-25,Jammu and Kashmir,1,0.0,7,6.0
361,2020-03-25,Ladakh,0,0.0,13,13.0
362,2020-03-25,Uttar Pradesh,11,0.0,37,26.0
